epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.198,1.8447,2.38698,1.62362,0.3319,0.13493,0.10512,0.04498,2.18974,3.39668,1.89865,0.0700698,0.00332558,0.00332558
1,157.645,1.7438,2.01713,1.57849,0.41988,0.20638,0.17923,0.08724,1.86627,2.22439,1.66957,0.0700698,0.00332558,0.00332558
1,165.469,1.65947,1.84832,1.51683,0.5928,0.20402,0.20125,0.10048,1.72122,3.4,1.56268,0.0700698,0.00332558,0.00332558
1,159.414,1.8447,2.38698,1.62362,0.3319,0.13493,0.10512,0.04498,2.18974,3.39668,1.89865,0.0700698,0.00332558,0.00332558
1,158.282,1.7438,2.01713,1.57849,0.41988,0.20638,0.17923,0.08724,1.86627,2.22439,1.66957,0.0700698,0.00332558,0.00332558
1,163.795,1.65947,1.84832,1.51683,0.5928,0.20402,0.20125,0.10048,1.72122,3.4,1.56268,0.0700698,0.00332558,0.00332558
1,158.805,1.60219,1.73354,1.47813,0.42164,0.26153,0.21923,0.11355,1.66523,2.5115,1.52366,0.0700698,0.00332558,0.00332558
1,157.738,1.55211,1.63115,1.44487,0.45087,0.28086,0.25086,0.12675,1.68752,2.02808,1.52866,0.0700698,0.00332558,0.00332558
1,160.032,1.51259,1.56226,1.42012,0.47585,0.28337,0.25015,0.12457,1.72354,1.97187,1.52266,0.0700698,0.00332558,0.00332558
1,159.1,1.48099,1.50484,1.39999,0.51008,0.28094,0.26586,0.13215,1.70924,1.94258,1.51268,0.0700698,0.00332558,0.00332558
1,159.745,1.45794,1.46064,1.38357,0.5164,0.31659,0.29803,0.15874,1.5934,1.76831,1.4555,0.0700698,0.00332558,0.00332558
1,159.332,1.44047,1.42323,1.37102,0.49148,0.28372,0.27618,0.14279,1.64646,2.05792,1.50006,0.0700698,0.00332558,0.00332558
1,159.941,1.41296,1.37721,1.35301,0.50256,0.31178,0.28561,0.1501,1.61929,1.80152,1.46901,0.0700698,0.00332558,0.00332558
1,158.673,1.39617,1.35355,1.34094,0.4238,0.26249,0.18836,0.09306,1.79224,2.58535,1.58894,0.0700698,0.00332558,0.00332558
1,161.334,1.36944,1.31043,1.32199,0.45785,0.30281,0.25903,0.135,1.68408,2.27724,1.5212,0.0700698,0.00332558,0.00332558
1,157.694,1.35273,1.288,1.31351,0.41442,0.29686,0.23001,0.1175,1.74167,2.31666,1.56828,0.0700698,0.00332558,0.00332558
1,162.622,1.3446,1.26941,1.30749,0.46843,0.2687,0.24334,0.12611,1.70168,3.04013,1.53552,0.0700698,0.00332558,0.00332558
1,158.843,1.32403,1.23471,1.29214,0.4631,0.31115,0.26833,0.13847,1.69077,2.17122,1.53025,0.0700698,0.00332558,0.00332558
1,159.343,1.30973,1.21734,1.28356,0.50183,0.303,0.28276,0.14336,1.65714,1.96415,1.48515,0.0700698,0.00332558,0.00332558
1,158.168,1.29134,1.19155,1.27212,0.51691,0.31484,0.29782,0.15395,1.63581,1.77552,1.48592,0.0700698,0.00332558,0.00332558
1,158.604,1.27457,1.16977,1.26261,0.59347,0.31438,0.31375,0.15869,1.64843,1.74913,1.50806,0.0700698,0.00332558,0.00332558
1,157.505,1.27093,1.15487,1.25849,0.55234,0.29286,0.27029,0.13794,1.7175,1.97422,1.57576,0.0700698,0.00332558,0.00332558
1,160.334,1.24709,1.13348,1.24408,0.45715,0.30333,0.25029,0.12843,1.63701,1.85186,1.51721,0.0700698,0.00332558,0.00332558
1,158.548,1.23353,1.11276,1.23667,0.34166,0.28746,0.24091,0.11148,1.87991,1.96128,1.66939,0.0700698,0.00332558,0.00332558
1,160.137,1.22424,1.09798,1.22985,0.3017,0.31911,0.25164,0.12675,1.7287,2.00931,1.57164,0.0700698,0.00332558,0.00332558
1,157.311,1.21944,1.0876,1.22527,0.25018,0.25593,0.16916,0.08216,1.77362,2.80473,1.58459,0.0700698,0.00332558,0.00332558
1,160.745,1.21979,1.07617,1.22355,0.47607,0.27816,0.2331,0.1162,1.75574,2.30396,1.57565,0.0700698,0.00332558,0.00332558
1,160.146,1.20565,1.05799,1.21451,0.30651,0.28221,0.23782,0.11566,1.78811,2.38931,1.63263,0.0700698,0.00332558,0.00332558
1,159.746,1.20577,1.05548,1.21585,0.49818,0.2844,0.25411,0.12555,1.74507,1.95902,1.55765,0.0700698,0.00332558,0.00332558
1,161.085,1.20179,1.04508,1.21249,0.35959,0.29456,0.26672,0.13566,1.67701,1.94434,1.53083,0.0700698,0.00332558,0.00332558
1,159.558,1.19144,1.03786,1.20644,0.35424,0.28857,0.27839,0.13568,1.80156,1.74121,1.61522,0.0700698,0.00332558,0.00332558
1,160.374,1.18978,1.02688,1.20429,0.39443,0.29011,0.25624,0.12176,1.76557,2.12809,1.58517,0.0700698,0.00332558,0.00332558
1,159.372,1.17111,1.01337,1.19645,0.38619,0.29993,0.26796,0.13554,1.70549,2.0378,1.54442,0.0700698,0.00332558,0.00332558
